871369,454,349D349D00032D8C
871369,456,C3FF0000FFFD3BFE
871369,508,FF1003F60011A26C
871369,528,040001FE
871370,499,003C00
871372,568,6A
871372,171,0000000000000000
871373,199,410B7AA0
871373,211,2CD9
871373,810,0A31CDDF65C4E3CA
871373,390,04005D0A010383
871373,485,5C218E70020001B9
871374,170,2CD92CD902532600
871375,190,02000005AA00
871375,201,8000000000001800
871375,493,01A90000000019FC
871375,495,00000000
871377,193,413819F74293A672
871377,197,C3474589C37C82E8
871378,209,0000000006FA00
871378,241,1C0200400000
871378,456,03FF000000003C01
871378,489,004C000E00478000
871379,844,F216004703F9004C
871379,866,00000000
871380,564,0000000000
871381,711,033FDEC13000
871382,568,6A
871383,485,5C218F100200015A
871385,171,0000000000000000
871385,199,410B7AA0
871385,211,2CD8
871385,390,04005D0A010383
871387,170,2CD92CD904532500
871387,190,06000005ABFF
871387,193,513819F75293A672
871388,197,5348F197D37C82E8
871388,201,8000000700001800
871388,209,40007FFF06F900
871388,241,280200400000
871388,389,1BF9
871389,417,00004100000000
871389,454,349D349D00432D8B
871389,419,00
871389,456,43FF0000FFFF3C00
871389,189,02081BF20800FF
871390,426,0865E69265F000
871390,479,800200
871390,451,065F065EFF300001
871390,481,00000000031CC0
871390,452,4A62C073040005FE
871391,493,01A90000000019FC
871391,453,2CD92CD9B25C
871391,495,00000000
871391,500,000000000000
871392,501,0C0C000400000900
871392,562,0000200800120022
871392,386,11FB010000000000
871392,568,6A
871392,647,C10001
871392,1005,0000000000FF
871393,707,065F065E0000CB00
871393,1516,FD1A2C02E81A2C01
871393,485,5C218F300200017A
871397,171,0000000000000000
871398,193,613819F76293A672
871398,197,6348F197E37C82E8
871398,199,410B7AA0
871398,209,8000BFFE05F900
871398,211,2CD8
871398,241,340200400000
871399,390,04005D0A010383
871399,456,83FF0000FFFE3BFF
871399,489,0048000E00478000
871399,840,0022002E09
871400,170,2CD92CD906532400
871400,842,0017002909
871400,190,0A000005ABFE
871400,560,0000200000001FFE
871400,201,8000000A00001800
871401,497,A20A00000800007A
871401,493,01A90000000019FC
871401,495,00000000
871402,568,6A
871403,499,407C00
871403,485,5C218F500200019A
871405,1105,000000000000
871406,711,033FE0C13000
871407,193,713819F77293A672
871407,197,7348F197F37C82E8
871408,209,C000FFFD04F900
871408,241,000200400000
871408,389,1BF8
871408,454,349D349D00832D8A
871409,456,C3FF0000FFFD3BFE
871409,532,040043FE482A
871409,761,00010D0800000D
871410,171,0000000000000000
871410,969,0706000000000000
871410,199,410CA326
871411,211,2CD8
871411,390,04005D0A010383
871412,568,6A
871412,170,2CD82CD800532800
871413,190,0E000005ABFD
871413,201,8000000D00001800
871413,493,01A90000000019FC
871413,417,00004100000000
871414,485,5C219070020001BB
871414,419,00
871414,495,00000000
871414,426,0865E69265F000
871414,451,065F065EFF000000
871415,452,6D62C073060003FD
871415,189,01F41BF20800FF
871415,453,2CD82CD8B25C
871415,479,800200
871415,500,000000000000
871416,501,0C0C000400000900
871416,647,000001
871418,193,413819F74293A672
871418,197,4348F197437D177D
871418,209,0000000004FC00
871418,241,1C0200400000
871418,456,03FF000000003C01
871419,489,0048000E00488000
871419,508,FEE603B20000F2F6
871419,528,060001FD
871420,567,221203
871420,352,DF7311FB03
871422,568,6A
871422,171,0000000000000000
871423,199,410CA326
871423,481,000000000010F0
871423,211,2CD7
871423,390,04005D0A010383
871423,485,5C2190100200015B
871424,170,2CD82CD802532700
871425,190,02000005AA00
871425,201,8000000000001800
871425,493,01A90000000019FC
871425,495,00000000
871427,193,513819F75293A672
871427,197,5348F197537D177D
871428,209,40007FFF04FB00
871428,241,280504400000
871428,389,1BF8
871428,454,349D349D00C32D89
871429,456,43FF0000FFFF3C00
871429,844,FA13004803F80048
871429,866,00000000
871430,554,8D8802
871430,298,10F0706D00001081
871431,711,033FE0C14000
871433,568,6A
871433,499,80BC00
871433,1516,FC1A2C02E701D520
871433,485,5C2190300200017B
871435,171,0000000000000000
871435,199,410CA326
871435,211,2CD7
871435,390,04005D0A010383
871437,170,2CD82CD804532600
871437,193,613819F76293A672
871437,190,06000005ABFF
871438,197,6348F197637D177D
871438,201,8000000700001800
871438,209,8000BFFE03FB00
871438,241,340200400000
871439,417,00004100000000
871439,456,83FF0000FFFE3BFF
871439,419,00
871439,489,0048000E00490000
871439,426,0865E69265F000
871440,189,01F41BF20800FF
871440,451,065F065EFF100003
871440,479,800200
871440,452,0062C07300000000
871440,309,0200166E210D1315
871441,453,2CD82CD8B25C
871441,493,01A90000000019FC
871441,500,000000000000
871441,495,00000000
871441,501,0C0C000400000900
871442,562,0000200800120022
871442,647,430001
871442,568,6A
871442,707,065F065E0000CB00
871443,977,014E800000000000
871443,979,800020007FFD3C
871443,988,81000A000000
871443,1001,00590DCF00000CF8
871443,485,5C2191500200019C
871445,546,009A400000352F
871445,558,58000A8000006A01
871447,171,0000000000000000
871447,199,410CA326
871448,193,713819F77293A672
871448,197,7348F197737D177D
871448,209,C000FFFD03FA00
871448,211,2CD7
871449,241,000200400000
871449,389,1BF9
871449,390,04005D0A010383
871449,454,349D349D00032D8C
871449,456,C3FF0000FFFD3BFE
871450,170,2CD72CD706532600
871450,840,0024003009
871450,190,0A000005ABFE
871450,842,0019002B09
871450,201,8000000A00001800
871451,311,1D0189E20A98080A
871451,493,01A90000000019FC
871451,560,0000300000001FFD
