0,635
10,41.50
20,5.60
30,1400
40,9.85
50,19.20
60,3185
70,10.85
80,3.30
90,3.20
100,10.60
110,4.50
120,10.80
130,20.75
140,3.80
150,19.75
160,2.00
170,3.80
180,8.80
190,4.05
200,18.95
210,8.80
220,1.60
230,21.00
240,8.30
250,1.80
260,540
270,3345
280,2
290,3.415
300,2580
310,66.65
320,5.15
330,
340,66.65
350,745
360,5.15
370,250
380,2580
390,250
400,540
410,3345
420,1475
430,1.80
440,6.05
450,21.00
460,18.95
470,10.60
480,425
490,3.60
500,456.
510,6.30
520,19.75
530,20.75
540,3.60
550,4.50
560,10.60
570,10.60
580,3.20
590,3.30
600,8.05
610,19.20
620,44.70
630,1400
640,10.15
650,41.50
660,5.60
670,635
680,5.60
690,36.25
700,44.70
710,9.20
720,9.85
730,1040
740,12.60
750,1470
760,3.00
770,5.15
780,3.60
790,20.75
800,10.80
810,11.95
820,9.70
830,10.15
840,14.45
850,3.40
860,425
870,3415
880,8.30
890,21.00
900,6.05
910,6.30
920,6.15
930,2
940,5.40
950,3.10
960,66.65
970,3185
980,250
990,3185
1000,250
1010,3.410
1020,75.00
1030,085
1040,2
1050,6.15
1060,6.30
1070,19.25
1080,6.05
1090,1.80
1100,8.30
1110,425
1120,6.10
1130,10.60
1140,10.15
1150,12.40
1160,11.30
1170,11.95
1180,3.60
1190,11.05
1200,5.40
1210,14.70
1220,8.05
1230,3.30
1240,9.85
1250,1400
1260,44.70
1270,9.20
1280,36.25
1290,565
1300,9.20
1310,3185
1320,2100
1330,10.60
1340,5.60
1350,4680
1360,11.45
1370,8.30
1380,3.35
1390,12.60
1400,6.30
1410,6.10
1420,10.60
1430,-26.20
1440,3.80
1450,19.20
1460,1475
1470,1.10
1480,430
1490,9.65
1500,7.70
1510,3.20
1520,10.60
1530,3685
1540,5535
1550,3.40
1560,3.15
1570,2580
1580,250
1590,45.65
1600,205
1610,230
1620,45.65
1630,425
1640,3.415
1650,2750
1660,5535
1670,3.40
1680,3685
1690,4.05
1700,3.20
1710,11.55
1720,6.10
1730,9.65
1740,16.00
1750,1.10
1760,15.35
1770,3.80
1780,12485
1790,4.50
1800,10.40
1810,12.35
1820,6.30
1830,10.85
1840,11.45
1850,3.35
1860,4680
1870,5.60
1880,2100
1890,10.60
1900,9.20
1910,3185
1920,230
1930,19.85
1940,2100
1950,17.45
1960,6.30
1970,29.10
1980,5.65
1990,3.80
2000,3.35
2010,8.30
2020,10.40
2030,6.10
2040,2.85
2050,11.05
2060,11.95
2070,8.10
2080,19.20
2090,3.15
2100,8.30
2110,19.25
2120,430
2130,1.10
2140,16.00
2150,41.10
2160,10.60
2170,14.85
2180,3345
2190,5.90
2200,24
2210,3.40
2220,75.00
2230,085
2240,425
2250,36.20
2260,425
2270,36.20
2280,230
2290,3.40
2300,75.00
2310,2750
2320,2
2330,5.90
2340,14.45
2350,41.10
2360,7.20
2370,0.95
2380,16.00
2390,9.65
2400,430
2410,2.50
2420,3.15
2430,10.15
2440,8.10
2450,11.95
2460,2.85
2470,12.35
2480,10.40
2490,30.30
2500,12.60
2510,3.35
2520,3.80
2530,5.60
2540,29.10
2550,1745
2560,9.20
2570,19.85
2580,1040
2590,230
2600,16495
2610,520
2620,12.15
2630,24.60
2640,66.40
2650,36.80
2660,2.50
2670,62.60
2680,2.20
2690,10.40
2700,3550
2710,3600
2720,53.30
2730,17.80
2740,103.60
2750,93.30
2760,20.75
2770,18.95
2780,25.05
2790,3.35
2800,31880
2810,4.55
2820,190.70
2830,211.65
2840,3.60
2850,515
2860,10
2870,155
2880,68.65
2890,450
2900,32.50
2910,60.20
2920,425
2930,21.40
2940,425
2950,14.25
2960,32.50
2970,17.10
2980,189.
2990,68.65
3000,770
3010,1150
3020,515
3030,22550
3040,3.60
3050,425
3060,190.70
3070,31185
3080,2015
3090,3.35
3100,18.95
3110,11400
3120,20.75
3130,14.20
3140,-103.60
3150,5670
3160,3600
3170,2845
3180,3.00
3190,6.50
3200,2.50
3210,63.30
3220,66.40
3230,50.60
3240,17.80
3250,12.15
3260,520
3270,16495
3280,58.30
3290,24.60
3300,520
3310,-62.60
3320,2.20
3330,13.0
3340,50.60
3350,66.40
3360,14.25
3370,3.00
3380,9.65
3390,2.50
3400,57.35
3410,22.60
3420,11.70
3430,20.75
3440,109.25
3450,11140
3460,17.80
3470,19.20
3480,24.80
3490,67.90
3500,23.05
3510,3.60
3520,22550
3530,-202.00
3540,4.55
3550,10
3560,28.15
3570,515
3580,450
3590,155
3600,5.15
